id	type	qualifier	systematic	gene	aliases	chromname	?	chrom#	from	to	strand				Notes
YAL069W	gene	?	YAL069W	YAL069W		chromosome 1		1	334	648	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL068W-A	gene	?	YAL068W-A	YAL068W-A		chromosome 1		1	537	791	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL068C	gene	?	YAL068C	PAU8	PAU8,seripauperin PAU8	chromosome 1		1	1806	2168	C				Protein of unknown function; member of the seripauperin multigene family encoded mainly in subtelomeric regions
YAL067W-A	gene	?	YAL067W-A	YAL067W-A		chromosome 1		1	2479	2706	W				Putative protein of unknown function; identified by gene-trapping, microarray-based expression analysis, and genome-wide homology searching
YAL067C	gene	?	YAL067C	SEO1	SEO1,putative permease SEO1	chromosome 1		1	7234	9015	C				Putative permease; member of the allantoate transporter subfamily of the major facilitator superfamily; mutation confers resistance to ethionine sulfoxide
YAL066W	gene	?	YAL066W	YAL066W		chromosome 1		1	10090	10398	W				Dubious open reading frame; unlikely to encode a functional protein, based on available experimental and comparative sequence data
YAL065C	gene	?	YAL065C	YAL065C		chromosome 1		1	11564	11950	C				Putative protein of unknown function; has homology to FLO1; possible pseudogene
YAL064W-B	gene	?	YAL064W-B	YAL064W-B		chromosome 1		1	12045	12425	W				Fungal-specific protein of unknown function
YAL064C-A	gene	?	YAL064C-A	TDA8	TDA8,YAL065C-A	chromosome 1		1	13362	13742	C				Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene
YAL064W	gene	?	YAL064W	YAL064W		chromosome 1		1	21565	21849	W				Protein of unknown function; may interact with ribosomes, based on co-purification experiments
YAL063C-A	gene	?	YAL063C-A	YAL063C-A		chromosome 1		1	22394	22684	C				Putative protein of unknown function; identified by expression profiling and mass spectrometry
